name,lat,lng,hex_id
山仔后公園,25.137291,121.545635,894ba5691cbffff
天母公園,25.125908,121.530518,894ba56904fffff
天和一號公園,25.11844,121.53471,894ba569237ffff
天和公園,25.119819,121.533988,894ba5692afffff
天壽公園,25.114028,121.525686,894ba569203ffff
天壽綠地,25.114028,121.525686,894ba569203ffff
天壽綠地,25.114028,121.525686,894ba569203ffff
天福2號公園,25.11709,121.531608,894ba569233ffff
外雙溪公園,25.10127,121.552391,894ba0a6c27ffff
仰德一號公園,25.10007,121.53778,894ba0a6c1bffff
仰德二號公園,25.09999,121.538276,894ba0a6c1bffff
名山公園,25.101549,121.532371,894ba0a6cc3ffff
至善公園,25.09819,121.538291,894ba0a6c0bffff
至誠公園,25.101089,121.536682,894ba0a6c1bffff
至德園公園,25.0984,121.546401,894ba0a6c3bffff
住六(公一)公園,25.136913,121.559492,894ba569177ffff
住六(公二)公園,25.137605,121.557649,894ba56910fffff
克強公園,25.107985,121.521967,894ba569247ffff
志成公園,25.09669,121.53086,894ba0a6127ffff
忠誠公園,25.10342,121.525741,894ba0a61a7ffff
承德公園,25.08966,121.52198,894ba0a6177ffff
明勝公園,25.079968,121.519187,894ba0a63afffff
東和公園,25.1226,121.533686,894ba5692a7ffff
社子公園,25.09037,121.506027,894ba0a6027ffff
社子島福安里堤防綠地,25.098141,121.496437,894ba0a654bffff
社正公園,25.087499,121.510421,894ba0a615bffff
芝山公園,25.102369,121.531776,894ba0a6cc3ffff
花卉試驗中心,25.135015,121.54441,894ba569027ffff
前港公園,25.086062,121.520155,894ba0a616bffff
後港公園,25.093237,121.514454,894ba0a611bffff
美崙公園,25.097379,121.517219,894ba0a6113ffff
原住民文化主題公園,25.10157,121.55075,894ba0a6c27ffff
海光公園,25.08185,121.507881,894ba0a6383ffff
基河公園,25.080039,121.524017,894ba0a6ec3ffff
基隆河沖洗溝加蓋綠地,25.084049,121.523162,894ba0a6ed3ffff
華聲公園,25.095979,121.522491,894ba0a6107ffff
華齡公園,25.084049,121.523162,894ba0a6ed3ffff
新佳公園,25.09863,121.519493,894ba0a6117ffff
福中公園,25.087919,121.518836,894ba0a617bffff
福志公園,25.09905,121.534057,894ba0a6ccfffff
福林公園,25.0958,121.529472,894ba0a6127ffff
福華公園,25.082179,121.518921,894ba0a63a7ffff
福順公園,25.082349,121.511131,894ba0a6387ffff
翠山公園,25.10845,121.56995,894ba0a6d33ffff
德仁公園,25.102659,121.521461,894ba0a61b3ffff
德行公園,25.10511,121.523651,894ba0a61b7ffff
線形公園-前街,25.097214,121.524831,894ba0a6133ffff
線形公園-後街,25.097214,121.524831,894ba0a6133ffff
線形公園-劍潭,25.079087,121.523387,894ba0a6ecbffff
衛理兒童遊戲場,25.102329,121.553306,894ba0a6c27ffff
磺溪公園,25.104879,121.520629,894ba0a61b3ffff
雙溪公園,25.098039,121.535919,894ba0a6c57ffff
蘭雅1號公園,25.109932,121.529112,894ba569277ffff
蘭雅公園,25.109744,121.529919,894ba569277ffff
蘭興公園,25.111029,121.525193,894ba56920bffff
209號綠地,25.092599,121.528068,894ba0a612fffff
士林116號綠地,25.09646,121.513603,894ba0a61c7ffff
士林117號綠地,25.09703,121.5139,894ba0a61c7ffff
士林118號綠地,25.093179,121.519462,894ba0a610fffff
士林120號綠地,25.093059,121.520446,894ba0a610fffff
士林121號綠地,25.092269,121.515808,894ba0a610bffff
士林128號綠地,25.084669,121.522346,894ba0a6ed3ffff
士林130號綠地,25.089599,121.502586,894ba0a6023ffff
士林131號綠地,25.090789,121.505592,894ba0a6037ffff
士林132號綠地,25.09066,121.50682,894ba0a6027ffff
士林136號綠地,25.08691,121.51091,894ba0a614bffff
士林139號綠地,25.084869,121.509407,894ba0a6397ffff
士林151號綠地,25.09576,121.548439,894ba0a6893ffff
士林156號綠地,25.103392,121.554827,894ba0a6d53ffff
士林173號綠地 (,25.1128,121.526199,894ba56920fffff
士林179號綠地,25.10433,121.529426,894ba0a6cd3ffff
士林197號綠地,25.136188,121.558964,894ba569177ffff
士林198號綠地,25.141013,121.55392,894ba569103ffff
士林199號綠地,25.14052,121.558456,894ba569107ffff
士林200號綠地,25.13698,121.561668,894ba56912bffff
士林201號綠地,25.13364,121.560668,894ba569167ffff
士林206綠地(番仔,25.097959,121.548027,894ba0a6c2bffff
士林207綠地(番仔,25.096759,121.548393,894ba0a6c2bffff
士林208號綠地,25.09733,121.533767,894ba0a6c53ffff
士林4號綠地,25.13688,121.546272,894ba5691cbffff
士林68號綠地,25.099069,121.53643,894ba0a6c1bffff
士林73號綠地 (天,25.121599,121.52597,894ba569287ffff
士林75號綠地,25.123203,121.529441,894ba5692b3ffff
士林76號綠地,25.124725,121.532776,894ba5692b7ffff
士林79號綠地,25.115579,121.526779,894ba569203ffff
士林80天壽二號,25.11326,121.52642,894ba56920fffff
